127.0.0.1 - - [18/Nov/2022:01:33:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Nov/2022:01:33:57 +0900] "GET /MySNS2/login.html HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [18/Nov/2022:01:33:57 +0900] "GET /MySNS2/css/core.css HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [18/Nov/2022:01:33:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:38:59 +0900] "GET /MySNS2/login.html HTTP/1.1" 200 1818
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:38:59 +0900] "GET /MySNS2/css/core.css HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:38:59 +0900] "GET /MySNS2/js/core.js HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:39:00 +0900] "GET /MySNS2/js/jquery-3.6.1.min.js HTTP/1.1" 200 89664
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:39:14 +0900] "POST /MySNS2/jsp/login.jsp?id=Kim@abc.com&ps=111 HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:39:22 +0900] "POST /MySNS2/jsp/login.jsp?id=Kim@abc.com&ps=111 HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:39:46 +0900] "GET /MySNS2/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:39:47 +0900] "GET /MySNS2/js/core.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:39:47 +0900] "GET /MySNS2/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:39:56 +0900] "POST /MySNS2/jsp/login.jsp?id=Kim@abc.com&ps=111 HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:39:59 +0900] "GET /MySNS2/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:40:13 +0900] "POST /MySNS2/jsp/login.jsp?id=Kim@abc.om&ps=111 HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:41:49 +0900] "GET /MySNS2/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:41:49 +0900] "GET /MySNS2/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:41:49 +0900] "GET /MySNS2/js/core.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:42:01 +0900] "POST /MySNS2/jsp/login.jsp?id=Kim@abc.com&ps=111 HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:42:37 +0900] "POST /MySNS2/jsp/login.jsp?id=Kim@abc.com&ps=111 HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:42:41 +0900] "GET /MySNS2/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:42:52 +0900] "GET /MySNS2/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:42:52 +0900] "GET /MySNS2/js/core.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:43:02 +0900] "POST /MySNS2/jsp/login.jsp?id=Kim@abc.com&ps=111 HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:44:03 +0900] "GET /MySNS2/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:44:03 +0900] "GET /MySNS2/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:44:03 +0900] "GET /MySNS2/js/jquery-3.6.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:44:03 +0900] "GET /MySNS2/js/core.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2022:02:44:04 +0900] "GET /MySNS2/login.html HTTP/1.1" 304 -
